,del_pys,del_tau,pys_tau
6401070,1.0,0.984486,0.984486
6401080,0.999931,0.999979,0.999953
6401090,1.0,0.999945,0.999945
6401111,1.0,1.0,1.0
6401120,1.0,0.999997,0.999997
6401140,1.0,1.0,1.0
6401150,1.0,1.0,1.0
6401160,1.0,1.0,1.0
6401200,0.999375,1.0,0.999375
6401250,1.0,1.0,1.0
6401300,0.999848,0.999763,0.999611
6401310,1.0,1.0,1.0
6401400,0.999969,0.999984,0.999953
6401460,0.999948,1.0,0.999948
6401500,0.999031,1.0,0.999031
6401601,0.998756,1.0,0.998756
6401610,0.999998,0.999998,1.0
6401702,1.0,1.0,1.0
6401703,0.999979,1.0,0.999979
6401800,1.0,1.0,1.0
